code,system
440.2x ,icduncat
440.3x ,icduncat
440.8x,icduncat
88.48,icduncat
75710,icduncat
75711,icduncat
75712,icduncat
75716,icduncat
75717,icduncat
75718,icduncat
75630,icduncat
75631,icduncat
38.18,icduncat
39.5,icduncat
39.25,icduncat
39.29,icduncat
38.08,icduncat
38.38,icduncat
38.48,icduncat
 39.49; 39.56,icduncat
39.57,icduncat
39.58,icduncat
39.9,icduncat
35302,icduncat
35303,icduncat
35304,icduncat
35305,icduncat
35306,icduncat
35331,icduncat
35351,icduncat
35355,icduncat
35361,icduncat
35363,icduncat
35371,icduncat
35372,icduncat
35381,icduncat
35452,icduncat
35454,icduncat
35456,icduncat
35459,icduncat
35470,icduncat
35472,icduncat
35473,icduncat
35474,icduncat
35481,icduncat
35482,icduncat
35483,icduncat
35485,icduncat
35491,icduncat
35492,icduncat
35493,icduncat
35495,icduncat
35521,icduncat
35533,icduncat
35537,icduncat
35538,icduncat
35539,icduncat
35540,icduncat
35541,icduncat
35546,icduncat
35548,icduncat
35549,icduncat
35551,icduncat
35556,icduncat
35558,icduncat
35563,icduncat
35565,icduncat
35566,icduncat
35571,icduncat
35582,icduncat
35583,icduncat
35585,icduncat
35587,icduncat
35621,icduncat
35623,icduncat
35637,icduncat
35638,icduncat
35641,icduncat
35646,icduncat
35647,icduncat
35651,icduncat
35654,icduncat
35656,icduncat
35661,icduncat
35663,icduncat
35665,icduncat
35666,icduncat
35671,icduncat
35226,icduncat
35256,icduncat
35286,icduncat
35700,icduncat
35721,icduncat
35741,icduncat
35876,icduncat
35879,icduncat
35881,icduncat
35883,icduncat
35884,icduncat
37184,icduncat
37185,icduncat
37186,icduncat
37205,icduncat
37206,icduncat
37207,icduncat
37208,icduncat
84.1×,icduncat
84.91,icduncat
27295,icduncat
27590,icduncat
27591,icduncat
27592,icduncat
27598,icduncat
27880,icduncat
27781,icduncat
27782,icduncat
27888,icduncat
27889,icduncat
28800,icduncat
28805,icduncat
